Code,Value
JMP,997
CALL,998
RET,999
MOVE,1000
TURNLEFT,2000
PICKBEEPER,3000
PUTBEEPER,4000
END,5000
IF,6000
ELSE,7000
WHILE,8000
ITERATE,9000
FRONTISCLEAR,10000
LEFTISCLEAR,11000
REIGHTISCLEAR,12000
FRONTISBLOCKED,13000
LEFTISBLOCKED,14000
REIGHTISBLOCKED,15000
NEXTTOABEEPER,16000
NOTNEXTTOABEEPER,17000
FACINGNORTH,18000
FACINGSOUTH,19000
FACINGEAST,20000
FACINGWEST,21000
NOTFACINGNORTH,22000
NOTFACINGSOUTH,23000
NOTFACINGEAST,24000
NOTFACINGWEST,25000
ANYBEEPERSINBEEPERBAG,26000
NOBEEPERSINBEEPERBAG,27000
